extId,setSize,half,wmc
YI0692,3,1,1
YI0692,3,2,0.833333333
YI0692,6,1,0.958333333
YI0692,6,2,0.791666667
YI2480,3,1,1
YI2480,3,2,1
YI2480,6,1,0.916666667
YI2480,6,2,1
YI2602,3,1,0.916666667
YI2602,3,2,1
YI2602,6,1,0.958333333
YI2602,6,2,0.833333333
YN1017,3,1,1
YN1017,3,2,1
YN1017,6,1,0.958333333
YN1017,6,2,0.791666667
YN2494,3,1,0.666666667
YN2494,3,2,1
YN2494,6,1,0.5
YN2494,6,2,0.875
YS1669,3,1,1
YS1669,3,2,0.916666667
YS1669,6,1,1
YS1669,6,2,0.958333333
YU0785,3,1,1
YU0785,3,2,0.916666667
YU0785,6,1,0.958333333
YU0785,6,2,0.916666667
ZE0580,3,1,1
ZE0580,3,2,1
ZE0580,6,1,0.833333333
ZE0580,6,2,0.958333333
ZE1494,3,1,0.833333333
ZE1494,3,2,1
ZE1494,6,1,1
ZE1494,6,2,1
